town,pop
"Atoka, TN",9095
"Attalla, AL",5865
"Attapulgus, GA",432
"Atterbury, IL",1
"Attica, IN",3092
"Attica, KS",577
"Attica, MI",1
"Attica, NY",2449
"Attleboro, MA",44434
"Atwater, CA",29270
"Atwater, IL",1
"Atwater, MN",1120
"Atwater, OH",1
"Atwood, CO",1
"Atwood, IL",1185
"Atwood, KS",1209
"Atwood, OK",71
"Atwood, TN",921
"Au Gres, MI",854
"Au Sable Chasm, NY",1
"Au Sable Forks, NY",1
"Au Train, MI",1
"Auberry, CA",1
"Aubrey, AR",148
"Aubrey, TX",3383
"Auburn, AL",63118
"Auburn, CA",13963
"Auburn, GA",7603
"Auburn, IL",4752
"Auburn, IN",13052
"Auburn, KS",1212
"Auburn, KY",1348
"Auburn, MA",1
"Auburn, ME",22948
"Auburn, MI",2126
"Auburn, NE",3299
"Auburn, NH",1
"Auburn, NY",26821
"Auburn, PA",708
"Auburn, WA",77472
"Auburn, WV",92
"Auburn, WY",1
"Auburn Hills, MI",22795
"Auburndale, FL",15540
"Auburndale, MA",1
"Auburndale, WI",666
"Auburntown, TN",264
"Audubon, IA",1970
"Audubon, MN",519
"Audubon, NJ",8727
"Augusta, AR",2020
"Augusta, GA",197081
"Augusta, IL",563
"Augusta, KS",9321
"Augusta, KY",1175
"Augusta, ME",18494
"Augusta, MI",903
"Augusta, MO",256
"Augusta, MT",1
"Augusta, NJ",1
"Augusta, WI",1520
"Augusta, WV",1
"Aulander, NC",813
"Ault, CO",1683
"Aultman, PA",1
"Aurelia, IA",990
"Aurora, CO",361710
"Aurora, IA",170
"Aurora, IL",201110
"Aurora, IN",3689
"Aurora, KS",58
"Aurora, ME",1
"Aurora, MN",1654
"Aurora, NC",517
"Aurora, NE",4484
"Aurora, NY",717
"Aurora, OR",1008
"Aurora, SD",667
"Austell, GA",7139
"Austerlitz, NY",1
"Austin, AR",3722
"Austin, CO",1
"Austin, IN",4139
"Austin, KY",1
"Austin, MN",24720
"Austin, NV",1
"Austin, PA",542
"Austin, TX",947890
"Austin, UT",1
"Austinburg, OH",1
"Austintown, OH",1
"Austinville, IA",1
"Austinville, VA",1
"Austonio, TX",1
"Autaugaville, AL",854
"Auto, WV",1
"Autryville, NC",198
"Auxier, KY",1
"Auxvasse, MO",985
"Ava, IL",629
"Ava, MO",2927
"Ava, NY",1
"Avalon, CA",3767
"Avalon, MO",1
"Avalon, MS",1
"Avalon, NJ",1279
"Avalon, WI",1
"Avella, PA",1
"Avenal, CA",12466
"Avenel, NJ",1
"Avenue, MD",1
"Avera, GA",233
"Averill, VT",1
"Averill Park, NY",1
"Avery, ID",1
"Avery, TX",449
"Avilla, IN",2411
"Avilla, MO",126
"Avinger, TX",440
"Avoca, IA",1513
"Avoca, MN",139
"Avoca, NE",244
"Avoca, PA",2614
"Avoca, TX",1
"Avoca, WI",619
"Avon, CT",1
"Avon, IL",751
"Avon, IN",16960
"Avon, MA",1
"Avon, MN",1527
"Avon, NY",3290
"Avon, OH",22805
"Avon, SD",591
"Avon By The Sea, NJ",1
"Avon Lake, OH",23659
"Avon Park, FL",10259
"Avondale, AZ",82881
"Avondale, PA",1394
"Avondale Estates, GA",3150
"Avonmore, PA",973
"Awendaw, SC",1384
"Axis, AL",1
"Axson, GA",1
"Axtell, KS",400
"Axtell, NE",735
"Axtell, TX",1
"Axtell, UT",1
"Axton, VA",1
"Ayden, NC",5191
"Aydlett, NC",1
"Ayer, MA",1
"Aylett, VA",1
"Aylor, VA",1
"Aynor, SC",763
"Ayr, ND",17
"Ayr, NE",94
"Ayrshire, IA",139
"Azalea, OR",1
"Azalea Park, FL",1
"Azle, TX",12064
"Aztec, NM",5960
"Azusa, CA",49628
"Babb, MT",1
"Babbitt, MN",1507
"Babcock, WI",1
"Babson Park, FL",1
"Backoo, ND",1
"Backus, MN",248
"Bacliff, TX",1
"Baconton, GA",857
"Bad Axe, MI",2980
"Baden, PA",3998
"Bader, IL",1
"Badger, IA",548
"Badger, MN",364
"Badger, SD",103
"Bagdad, AZ",1
"Bagdad, KY",1
"Baggs, WY",430
"Bagley, IA",293
"Bagley, MN",1400
"Bagley, WI",369
"Bagwell, TX",1
"Bahama, NC",1
"Bailey, CO",1
"Bailey, MI",1
"Bailey, MS",1
"Bailey, NC",568
"Bailey Island, ME",1
"Bailey Switch, KY",1
"Baileys Crossroa, VA",1
"Baileys Harbor, WI",1
"Baileyton, AL",627
"Baileyton, TN",434
"Baileyville, IL",1
"Baileyville, KS",1
